ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.db.billrecord.BillrecordRepo,3,1,0,2,3,3,0,2,3,2,3,0,0,0,1,0,0,0,0.222222222
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billrecord.BillrecordSvc,6,1,0,2,16,0,0,2,6,0.2,58,1,0,0,0.7222,0,0,8.5,0.005747126
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.Cuscredit,68,1,0,1,70,2080,0,1,68,0.9701,437,1,0,0,0.7426,0,0,4.9412,3.36519E-05
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditKey,1,1,0,0,2,0,0,0,1,2,6,1,0,0,1,0,0,3,0
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditRepo,2,1,0,2,2,1,0,2,2,2,2,0,0,0,1,0,0,0,0.5
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditSvc,6,1,0,2,23,0,0,2,6,0.2,85,1,0,0,0.6667,0,0,13,0.003921569
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditTool$ActivationRecord,9,2,0,2,18,22,0,2,5,0.75,94,0.6,3,0.6818,0.2813,1,1,8.8889,0.002364066
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditTool$CardApprovalStatus,9,2,0,2,18,22,0,2,5,0.7708,107,0.5,4,0.6818,0.2813,1,1,10.2222,0.002076843
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditTool$STATUS,9,2,0,2,18,22,0,2,5,0.75,94,0.6,3,0.6818,0.2813,1,1,8.8889,0.002364066
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditTool,1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.APINotFundException,2,3,0,10,11,1,0,10,2,2,33,0,0,0.9474,0.6667,0,0,15.5,0.151515152
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$RC,7,2,0,1,10,13,0,1,4,0.8148,237,0.1667,16,0.75,0.3333,1,1,30.2857,0.000602773
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException,14,2,0,19,29,79,0,19,10,0.0769,140,1,0,0.6842,0.1436,0,0,8.9286,0.009693878
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.TException,1,3,0,2,4,0,0,2,1,2,18,0,0,1,1,0,0,14,0.111111111
,,,,,,,,,,,,,,,,,,,
com.ntou.spec.SvcRes,10,1,0,2,15,39,0,2,9,0.6667,162,1,0,0,0.4667,1,1,14.9,0.001234568
,,,,,,,,,,,,,,,,,,,
com.ntou.sysintegrat.mailserver.Auth,2,2,0,2,4,0,0,2,1,0,21,1,0,0.875,0.75,1,1,8.5,0.047619048
,,,,,,,,,,,,,,,,,,,
com.ntou.sysintegrat.mailserver.JavaMail$1,2,2,0,2,4,1,0,2,0,2,11,0,0,0.875,1,1,1,4.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.sysintegrat.mailserver.JavaMail,6,1,0,14,38,5,0,14,2,0.9,189,1,0,0,0.4,0,0,29.5,0.012345679
,,,,,,,,,,,,,,,,,,,
com.ntou.sysintegrat.mailserver.MailVO,12,1,0,1,16,34,0,1,11,0.5455,195,1,0,0,0.5,1,1,15,0.00042735
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.Common,1,1,0,0,2,0,0,0,1,2,17,0,0,0,1,0,0,3,0
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.DateTool,5,1,0,0,15,10,0,0,5,2,52,0,0,0,0.2,0,0,9.4,0
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.ExecutionTimer$ExecutionModule,9,2,0,2,18,22,0,2,5,0.7969,133,0.375,6,0.6818,0.2813,1,1,12.8889,0.001670844
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.ExecutionTimer,7,1,0,3,38,0,0,3,4,0.5,209,1,0,0,0.3333,0,0,28.5714,0.002050581
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.JsonTool,6,1,0,5,13,3,0,5,4,0.5,49,1,0,0,0.24,0,0,6.8333,0.017006803
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.RegexpTool,1,1,0,0,2,0,0,0,0,2,87,0,0,0,0,0,0,58,0
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.ResTool,4,1,0,3,9,6,0,3,4,2,38,0,0,0,0.5833,0,0,8.5,0.019736842
,7.824324324,1.391891892,0,4.391891892,18.31081081,75.87837838,0,4.391891892,6.581081081,1.098195946,124.3243243,0.506163514,1.027027027,0.292932432,0.617872973,0.337837838,0.337837838,13.27762838,0.068169701
