ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.db.billofmonth.BillofmonthSvc,3,1,0,1,3,3,0,1,3,2,3,0,0,0,1,0,0,0,0.11111
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billofmonth.BillofmonthVO,35,1,0,1,40,453,0,1,34,0.8529,755,1,0,0,0.4952,1,1,20.1714,0.00004
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billrecord.BillrecordDAO,6,2,0,5,46,0,0,5,5,0.9556,826,0.0556,0,0.5,0.7333,0,0,133.6667,0.00101
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billrecord.BillrecordImpl,5,1,0,3,10,0,0,3,5,0,36,1,0,0,0.6,0,0,6,0.01667
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billrecord.BillrecordSvc,4,1,0,1,4,6,0,1,4,2,4,0,0,0,0.8333,0,0,0,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billrecord.BillrecordVO,39,1,0,1,44,579,0,1,38,0.8684,855,1,0,0,0.4957,1,1,20.5128,0.00003
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditDAO,6,2,0,5,61,0,0,5,5,0.9771,1079,0.0286,0,0.5,0.6,0,0,173,0.00077
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditImpl,6,1,0,3,14,0,0,3,6,0,54,1,0,0,0.5,0,0,7.8333,0.00926
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditSvc,5,1,0,1,5,10,0,1,5,2,5,0,0,0,0.6667,0,0,0,0.04
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditVO$ActivationRecord,9,2,0,2,18,22,0,2,5,0.75,94,0.6,3,0.6818,0.2813,1,1,8.8889,0.00236
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditVO$CardApprovalStatus,9,2,0,2,18,22,0,2,5,0.7708,107,0.5,4,0.6818,0.2813,1,1,10.2222,0.00208
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditVO$STATUS,9,2,0,2,18,22,0,2,5,0.75,94,0.6,3,0.6818,0.2813,1,1,8.8889,0.00236
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditVO,73,1,0,1,78,2296,0,1,72,0.9306,1705,1,0,0,0.4977,1,1,21.9041,0.00001
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_DateTimeParseException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.04167
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_Exception,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.04167
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_InvocationTargetException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.04167
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_JsonMappingException,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_JsonParseException,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_NotAllowedException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.04167
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_NotFoundException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.04167
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_NullPointerException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.04167
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_TException,3,1,0,2,5,3,0,2,3,2,14,0,0,0,0.5556,0,0,3.6667,0.04762
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_Throwable,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.75,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_UnrecognizedPropertyException,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$IOExceptionMapper,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.04167
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$JsonProcessingExceptionMapper,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$MismatchedInputExceptionMapper,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$RC,7,2,0,1,10,13,0,1,4,0.8148,237,0.1667,16,0.75,0.3333,1,1,30.2857,0.0006
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$ValidationExceptionMapper,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.04167
,,,,,,,,,,,,,,,,,,,
